line,from_station,to_station,seconds,kind
4,한성대입구,혜화,90,ride
4,혜화,한성대입구,90,ride
4,혜화,동대문,120,ride
4,동대문,혜화,120,ride
4,동대문,동대문역사문화공원,60,ride
4,동대문역사문화공원,동대문,60,ride
4,동대문역사문화공원,충무로,120,ride
4,충무로,동대문역사문화공원,120,ride
4,충무로,명동,60,ride
4,명동,충무로,60,ride
4,명동,회현,60,ride
4,회현,명동,60,ride
4,회현,서울역,90,ride
4,서울역,회현,90,ride
4,서울역,숙대입구,90,ride
4,숙대입구,서울역,90,ride
4,숙대입구,삼각지,90,ride
4,삼각지,숙대입구,90,ride
4,삼각지,신용산,60,ride
4,신용산,삼각지,60,ride
4,신용산,이촌,90,ride
4,이촌,신용산,90,ride
4,이촌,동작,180,ride
4,동작,이촌,180,ride
4,동작,총신대입구,150,ride
4,총신대입구,동작,150,ride
4,총신대입구,사당,90,ride
4,사당,총신대입구,90,ride
4,사당,남태령,90,ride
4,남태령,사당,90,ride
5,방화,개화산,90,ride
5,개화산,방화,90,ride
5,개화산,김포공항,100,ride
5,김포공항,개화산,100,ride
5,김포공항,송정,130,ride
5,송정,김포공항,130,ride
5,송정,마곡,90,ride
5,마곡,송정,90,ride
5,마곡,발산,100,ride
5,발산,마곡,100,ride
5,발산,우장산,90,ride
5,우장산,발산,90,ride
5,우장산,화곡,90,ride
5,화곡,우장산,90,ride
5,화곡,까치산,90,ride
5,까치산,화곡,90,ride
5,까치산,신정,110,ride
5,신정,까치산,110,ride
5,신정,목동,70,ride
5,목동,신정,70,ride
5,목동,오목교,80,ride
5,오목교,목동,80,ride
5,오목교,양평,80,ride
5,양평,오목교,80,ride
5,양평,영등포구청,70,ride
5,영등포구청,양평,70,ride
5,영등포구청,영등포시장,70,ride
5,영등포시장,영등포구청,70,ride
5,영등포시장,신길,90,ride
5,신길,영등포시장,90,ride
5,신길,여의도,90,ride
5,여의도,신길,90,ride
5,여의도,여의나루,80,ride
5,여의나루,여의도,80,ride
5,여의나루,마포,120,ride
5,마포,여의나루,120,ride
5,마포,공덕,70,ride
5,공덕,마포,70,ride
5,공덕,애오개,80,ride
5,애오개,공덕,80,ride
5,애오개,충정로,80,ride
5,충정로,애오개,80,ride
5,충정로,서대문,60,ride
5,서대문,충정로,60,ride
5,서대문,광화문,90,ride
5,광화문,서대문,90,ride
5,광화문,종로3가,100,ride
5,종로3가,광화문,100,ride
5,종로3가,을지로4가,100,ride
5,을지로4가,종로3가,100,ride
5,을지로4가,동대문역사문화공원,90,ride
5,동대문역사문화공원,을지로4가,90,ride
5,동대문역사문화공원,청구,80,ride
5,청구,동대문역사문화공원,80,ride
5,청구,신금호,90,ride
5,신금호,청구,90,ride
5,신금호,행당,80,ride
5,행당,신금호,80,ride
5,행당,왕십리,70,ride
5,왕십리,행당,70,ride
5,왕십리,마장,60,ride
5,마장,왕십리,60,ride
5,마장,답십리,100,ride
5,답십리,마장,100,ride
5,답십리,장한평,100,ride
5,장한평,답십리,100,ride
5,장한평,군자,100,ride
5,군자,장한평,100,ride
5,군자,아차산,90,ride
5,아차산,군자,90,ride
5,아차산,광나루,110,ride
5,광나루,아차산,110,ride
5,광나루,천호,130,ride
5,천호,광나루,130,ride
5,천호,강동,70,ride
5,강동,천호,70,ride
5,강동,길동,90,ride
5,길동,강동,90,ride
5,길동,굽은다리,70,ride
5,굽은다리,길동,70,ride
5,굽은다리,명일,70,ride
5,명일,굽은다리,70,ride
5,명일,고덕,100,ride
5,고덕,명일,100,ride
5,고덕,상일동,100,ride
