철도운영기관명,선명,역명,역간거리
의정부경전철,의정부,발곡,0
의정부경전철,의정부,회룡,0.8
의정부경전철,의정부,범골,0.6
의정부경전철,의정부,경전철의정부,0.9
의정부경전철,의정부,의정부시청,0.9
의정부경전철,의정부,흥선,0.6
의정부경전철,의정부,의정부중앙,1.1
의정부경전철,의정부,동오,0.7
의정부경전철,의정부,새말,0.7
의정부경전철,의정부,경기도청북부청사,0.7
의정부경전철,의정부,효자,0.6
의정부경전철,의정부,곤제,0.7
의정부경전철,의정부,어룡(용현산업단지),0.9
의정부경전철,의정부,송산,0.6
의정부경전철,의정부,탑석,0.4
