노선,역명_clean,전역_clean,소요시간
공항철도,서울역,,0
공항철도,공덕,서울역,204
공항철도,홍대입구,공덕,173
공항철도,디지털미디어시티,홍대입구,210
공항철도,마곡나루,디지털미디어시티,532
공항철도,김포공항,마곡나루,142
공항철도,계양,김포공항,408
공항철도,검암,계양,340
공항철도,청라국제도시,검암,297
공항철도,영종,청라국제도시,632
공항철도,운서,영종,223
공항철도,공항화물청사,운서,266
공항철도,인천공항1터미널,공항화물청사,161
공항철도,인천공항2터미널,인천공항1터미널,359
