노선,역명_clean,전역_clean,소요시간
1호선,도화,주안,96.0
1호선,병점,도화,347.0
1호선,서동탄,병점,178.0
1호선,세마,서동탄,194.0
1호선,제물포,세마,96.0
1호선,도원,제물포,134.0
1호선,오산대,도원,218.0
1호선,동인천,오산대,115.0
1호선,오산,동인천,218.0
1호선,인천,오산,182.0
1호선,진위,인천,323.0
1호선,송탄,진위,307.0
1호선,서정리,송탄,178.0
1호선,평택지제,서정리,387.0
1호선,평택,평택지제,299.0
1호선,성환,평택,759.0
1호선,직산,성환,436.0
1호선,두정,직산,436.0
1호선,천안,두정,242.0
1호선,봉명,천안,105.0
1호선,쌍용,봉명,129.0
1호선,아산,쌍용,129.0
1호선,탕정,아산,145.0
1호선,배방,탕정,250.0
1호선,온양온천,배방,396.0
1호선,신창,온양온천,412.0
1호선,서울역,,0.0
1호선,시청,서울역,120.0
1호선,종각,시청,120.0
1호선,종로3가,종각,90.0
1호선,종로5가,종로3가,90.0
1호선,동대문,종로5가,90.0
1호선,동묘앞,동대문,60.0
1호선,신설동,동묘앞,90.0
1호선,제기동,신설동,90.0
1호선,청량리,제기동,90.0
2호선,시청,,0.0
2호선,을지로입구,시청,90.0
2호선,을지로3가,을지로입구,60.0
2호선,을지로4가,을지로3가,60.0
2호선,동대문역사문화공원,을지로4가,90.0
2호선,신당,동대문역사문화공원,90.0
2호선,상왕십리,신당,60.0
2호선,왕십리,상왕십리,60.0
2호선,한양대,왕십리,90.0
2호선,뚝섬,한양대,90.0
2호선,성수,뚝섬,60.0
2호선,건대입구,성수,90.0
2호선,구의,건대입구,120.0
2호선,강변,구의,60.0
2호선,잠실나루,강변,120.0
2호선,잠실,잠실나루,90.0
2호선,잠실새내,잠실,90.0
2호선,종합운동장,잠실새내,90.0
2호선,삼성,종합운동장,90.0
2호선,선릉,삼성,90.0
2호선,역삼,선릉,90.0
2호선,강남,역삼,60.0
2호선,교대,강남,90.0
2호선,서초,교대,60.0
2호선,방배,서초,120.0
2호선,사당,방배,150.0
2호선,낙성대,사당,120.0
2호선,서울대입구,낙성대,90.0
2호선,봉천,서울대입구,60.0
2호선,신림,봉천,90.0
2호선,신대방,신림,120.0
2호선,구로디지털단지,신대방,90.0
2호선,대림,구로디지털단지,90.0
2호선,신도림,대림,150.0
2호선,문래,신도림,120.0
2호선,영등포구청,문래,60.0
2호선,당산,영등포구청,90.0
2호선,합정,당산,150.0
2호선,홍대입구,합정,90.0
2호선,신촌,홍대입구,120.0
2호선,이대,신촌,60.0
2호선,아현,이대,60.0
2호선,충정로,아현,90.0
2호선,시청,충정로,90.0
2호선,용답,시청,180.0
2호선,신답,용답,90.0
2호선,용두,신답,90.0
2호선,신설동,용두,90.0
2호선,도림천,신설동,90.0
